ID;Kreise;Bevölkerung_Gesamt;55+;Anteil_55+
01001;Flensburg, kreisfreie Stadt;87432;28358;32,43434898
01002;Kiel, kreisfreie Stadt;247441;73881;29,85802676
01003;Lübeck, kreisfreie Stadt;216712;78124;36,04968807
01004;Neumünster, kreisfreie Stadt;79680;28494;35,76054217
01051;Dithmarschen, Landkreis;133560;51931;38,88215034
01053;Herzogtum Lauenburg, Landkreis;195063;70252;36,01503104
01054;Nordfriesland, Landkreis;164926;62422;37,84848963
01055;Ostholstein, Landkreis;200813;84605;42,13123652
01056;Pinneberg, Landkreis;310653;110099;35,44115138
01057;Plön, Landkreis;128703;51608;40,0985214
01058;Rendsburg-Eckernförde, Landkreis;272337;101544;37,28615649
01059;Schleswig-Flensburg, Landkreis;198685;74577;37,53529456
01060;Segeberg, Landkreis;272235;95636;35,12994288
01061;Steinburg, Landkreis;131875;48435;36,72796209
01062;Stormarn, Landkreis;241811;87785;36,30314585
02000;Hamburg, kreisfreie Stadt;1810438;537358;29,68110479
03101;Braunschweig, kreisfreie Stadt;248667;82594;33,21470078
03102;Salzgitter, kreisfreie Stadt;103668;38121;36,77219586
03103;Wolfsburg, kreisfreie Stadt;123909;43740;35,30009927
03151;Gifhorn, Landkreis;174749;59853;34,25083978
03153;Goslar, Landkreis;137979;57767;41,86651592
03154;Helmstedt, Landkreis;92079;35290;38,32578547
03155;Northeim, Landkreis;133610;54296;40,63767682
03157;Peine, Landkreis;132979;47013;35,35370246
03158;Wolfenbüttel, Landkreis;120904;45702;37,80023821
03159;Göttingen, Landkreis;327065;118672;36,2839191
03241;Region Hannover, Landkreis;1148700;390162;33,96552625
03251;Diepholz, Landkreis;215082;78601;36,54466669
03252;Hameln-Pyrmont, Landkreis;148265;59635;40,22189998
03254;Hildesheim, Landkreis;277300;103610;37,36386585
03255;Holzminden, Landkreis;71510;29206;40,8418403
03256;Nienburg (Weser), Landkreis;121503;44572;36,68386789
03257;Schaumburg, Landkreis;157616;61284;38,88183941
03351;Celle, Landkreis;178370;66520;37,2932668
03352;Cuxhaven, Landkreis;198670;78348;39,43625107
03353;Harburg, Landkreis;250326;89477;35,74418958
03354;Lüchow-Dannenberg, Landkreis;48825;20969;42,94726062
03355;Lüneburg, Landkreis;181605;59508;32,76782027
03356;Osterholz, Landkreis;112695;42327;37,55889791
03357;Rotenburg (Wümme), Landkreis;163372;56812;34,77462478
03358;Heidekreis;139641;50652;36,27301437
03359;Stade, Landkreis;201638;69755;34,59417372
03360;Uelzen, Landkreis;92961;37011;39,81347016
03361;Verden, Landkreis;135842;48899;35,99696706
03401;Delmenhorst, kreisfreie Stadt;77045;27279;35,40658057
03402;Emden, kreisfreie Stadt;50486;17018;33,70835479
03403;Oldenburg (Oldenburg), kreisfreie Stadt;165711;52074;31,42458859
03404;Osnabrück, kreisfreie Stadt;164070;49839;30,3766685
03405;Wilhelmshaven, kreisfreie Stadt;76201;30263;39,71470191
03451;Ammerland, Landkreis;122698;44661;36,39912631
03452;Aurich, Landkreis;190066;69537;36,58571233
03453;Cloppenburg, Landkreis;165930;48296;29,10624962
03454;Emsland, Landkreis;321391;103254;32,12722198
03455;Friesland, Landkreis;98409;39169;39,80225386
03456;Grafschaft Bentheim, Landkreis;135770;46021;33,89629521
03457;Leer, Landkreis;168253;58382;34,69893553
03458;Oldenburg, Landkreis;129484;45254;34,94949183
03459;Osnabrück, Landkreis;354807;122356;34,48522718
03460;Vechta, Landkreis;139671;39621;28,36737762
03461;Wesermarsch, Landkreis;89282;33608;37,64252593
03462;Wittmund, Landkreis;56881;22070;38,80030239
04011;Bremen, kreisfreie Stadt;565719;189389;33,47757456
04012;Bremerhaven, kreisfreie Stadt;113034;40143;35,5140931
05111;Düsseldorf, kreisfreie Stadt;613230;193012;31,47465062
05112;Duisburg, kreisfreie Stadt;499845;168092;33,62882494
05113;Essen, kreisfreie Stadt;583084;203539;34,90732039
05114;Krefeld, kreisfreie Stadt;226812;80865;35,65287551
05116;Mönchengladbach, kreisfreie Stadt;260925;90830;34,81076938
05117;Mülheim an der Ruhr, kreisfreie Stadt;170936;64675;37,83579819
